section,method,family,runs,scored_runs,complete_1m_runs,environments,seeds,meta_lrs,backends,initializations,classification_reasons
ablation,fql_amo,fql_amo_jax,49,8,8,halfcheetah-medium-expert-v2;halfcheetah-medium-replay-v2;halfcheetah-medium-v2;hopper-medium-expert-v2;hopper-medium-replay-v2;hopper-medium-v2;walker2d-medium-expert-v2;walker2d-medium-replay-v2;walker2d-medium-v2,0;1;2;3,0.0003;0.001;0.002,jax,alpha_E/B=10/10,initial_scale_outside_main
ablation,iql_amo,iql_amo_jax_adroit_beta1_rho,3,0,0,relocate-expert-v1,1;2;3,0.0003,jax,beta=1,adroit
ablation,iql_amo,iql_amo_jax_antmaze_beta5_rho,30,24,24,antmaze-large-diverse-v2;antmaze-large-play-v2;antmaze-medium-diverse-v2;antmaze-medium-play-v2;antmaze-umaze-diverse-v2;antmaze-umaze-v2,0;1;2;3,0.0003;0.001;0.002,jax,beta=5,method_variant:iql_amo_jax_antmaze_beta5_rho
ablation,iql_amo,iql_amo_jax_loco_beta1_rho,2,0,0,walker2d-medium-replay-v2;walker2d-medium-v2,3,0.002,jax,beta=1,method_variant:iql_amo_jax_loco_beta1_rho
ablation,iql_amo,iql_amo_qweight_jax,140,122,122,antmaze-large-diverse-v2;antmaze-large-play-v2;antmaze-medium-diverse-v2;antmaze-medium-play-v2;antmaze-umaze-diverse-v2;antmaze-umaze-v2;hopper-medium-expert-v2;hopper-medium-replay-v2;hopper-medium-v2;walker2d-medium-expert-v2;walker2d-medium-replay-v2;walker2d-medium-v2,0;1;2,0.0003;0.001;0.002,jax,beta=1;beta=2;beta=5,method_variant:iql_amo_qweight_jax
ablation,iql_amo,iql_ddpgbc_amo_fixed_alpha_E,1,1,1,hopper-medium-v2,1,,jax,,initial_beta_outside_main;meta_lr_outside_main;method_variant:iql_ddpgbc_amo_fixed_alpha_E
ablation,td3_amo,adaptive_multiscale,165,162,156,antmaze-large-diverse-v2;antmaze-large-play-v2;antmaze-medium-diverse-v2;antmaze-medium-play-v2;antmaze-umaze-diverse-v2;antmaze-umaze-v2;halfcheetah-medium-expert-v2;halfcheetah-medium-replay-v2;halfcheetah-medium-v2;hopper-medium-expert-v2;hopper-medium-replay-v2;hopper-medium-v2;walker2d-medium-expert-v2;walker2d-medium-replay-v2;walker2d-medium-v2,0;1;2;3,0.0003;0.0005;0.001;0.002,torch,alpha_E/B=10/10;alpha_E/B=10/2;alpha_E/B=2/0.5;alpha_E/B=2/2;alpha_E/B=20/20,bootstrap_loss_not_l2_rms;initial_scale_mismatch;initial_scale_outside_main;meta_lr_outside_main
ablation,td3_amo,behavior_bc_l1_joint,6,0,0,antmaze-medium-play-v2;antmaze-umaze-diverse-v2;halfcheetah-medium-expert-v2;halfcheetah-medium-v2;hopper-medium-expert-v2;hopper-medium-v2,0,,torch,alpha_E/B=8/8,bootstrap_loss_not_l2_rms;critic_architecture;execution_loss;initial_scale_outside_main;meta_lr_outside_main;method_variant:behavior_bc_l1_joint
ablation,td3_amo,td3_amo_directq_l2rms,12,12,12,antmaze-medium-diverse-v2;hopper-medium-replay-v2;walker2d-medium-replay-v2,0;1;2;3,0.0003;0.002,jax,alpha_E/B=5/5,execution_loss;method_variant:td3_amo_directq_l2rms
ablation,td3_amo,td3_amo_firstorder_l2rms,12,12,12,antmaze-medium-diverse-v2;hopper-medium-replay-v2;walker2d-medium-replay-v2,0;1;2;3,0.0003;0.002,jax,alpha_E/B=5/5,execution_loss;method_variant:td3_amo_firstorder_l2rms
ablation,td3_amo,td3_amo_fixedB5_lrgrid,3,0,0,halfcheetah-medium-expert-v2;hopper-medium-replay-v2;walker2d-medium-expert-v2,1;2,0.0003,jax,alpha_E/B=5/5,method_variant:td3_amo_fixedB5_lrgrid
ablation,td3_amo,td3_amo_fixedB_lrmatch,24,24,24,antmaze-large-diverse-v2;antmaze-large-play-v2;antmaze-medium-play-v2;halfcheetah-medium-expert-v2;hopper-medium-expert-v2;walker2d-medium-v2,0;1;2;3,0.0003;0.001,jax,alpha_E/B=5/5,method_variant:td3_amo_fixedB_lrmatch
ablation,td3_amo,td3_amo_fixed_alpha_B,4,3,3,hopper-medium-replay-v2;walker2d-medium-replay-v2,1;3,0.002,jax,alpha_E/B=5/5,method_variant:td3_amo_fixed_alpha_B
ablation,td3_amo,td3_amo_jax,243,243,243,antmaze-large-diverse-v2;antmaze-large-play-v2;antmaze-medium-diverse-v2;antmaze-medium-play-v2;antmaze-umaze-diverse-v2;antmaze-umaze-v2;halfcheetah-medium-expert-v2;halfcheetah-medium-replay-v2;halfcheetah-medium-v2;hopper-medium-expert-v2;hopper-medium-replay-v2;hopper-medium-v2;walker2d-medium-expert-v2;walker2d-medium-replay-v2;walker2d-medium-v2,0;1;2;3,0.0003;0.001;0.002,jax,alpha_E/B=1/1;alpha_E/B=2/2,bootstrap_loss_not_l2_rms
ablation,td3_amo,td3_amo_le_bel2_a5,114,97,97,antmaze-large-diverse-v2;antmaze-large-play-v2;antmaze-medium-diverse-v2;antmaze-medium-play-v2;antmaze-umaze-diverse-v2;antmaze-umaze-v2;halfcheetah-medium-expert-v2;halfcheetah-medium-replay-v2;halfcheetah-medium-v2;hopper-medium-expert-v2;hopper-medium-replay-v2;hopper-medium-v2;walker2d-medium-expert-v2;walker2d-medium-replay-v2;walker2d-medium-v2,0;1;2,0.0003;0.001;0.002,jax,alpha_E/B=5/5,bootstrap_loss_not_l2_rms;method_variant:td3_amo_le_bel2_a5
ablation,td3_amo,td3_amo_split_meta_lr,16,16,16,antmaze-umaze-diverse-v2;hopper-medium-expert-v2,0;1;2;3,0.0003;0.001;0.002,jax,alpha_E/B=5/5,method_variant:td3_amo_split_meta_lr
main,fql_amo,fql_amo_jax,12,12,12,antmaze-large-diverse-v2;halfcheetah-medium-replay-v2;hopper-medium-expert-v2,0;1;2;3,0.001,jax,alpha_E/B=5/5,
