init,condition,domain,alpha_role,step,mean,std_across_envs,n_env,n_runs
1.0,single_le,all,alpha_E,0,1.0,0.0,15,37
1.0,single_le,all,alpha_E,25000,1.3773244526651172,0.21777345680113405,15,37
1.0,single_le,all,alpha_E,50000,1.7555091367827522,0.5036571392923395,15,37
1.0,single_le,all,alpha_E,75000,2.2162854499287072,0.7570209557587189,15,37
1.0,single_le,all,alpha_E,100000,2.740418350696564,0.9783901438953924,15,37
1.0,single_le,all,alpha_E,125000,3.2899167511198257,1.225761179669574,15,37
1.0,single_le,all,alpha_E,150000,3.8402687629063923,1.4568526584009016,15,37
1.0,single_le,all,alpha_E,175000,4.376449310779572,1.6743183783458062,15,37
1.0,single_le,all,alpha_E,200000,4.8835213568475515,1.8789947790930046,15,37
1.0,single_le,all,alpha_E,225000,5.359605548116895,2.0732925365035455,15,37
1.0,single_le,all,alpha_E,250000,5.808885018030803,2.2510800590407816,15,37
1.0,single_le,all,alpha_E,275000,6.223240367571512,2.4150440770372157,15,37
1.0,single_le,all,alpha_E,300000,6.609546934233772,2.5605263637791014,15,37
1.0,single_le,all,alpha_E,325000,6.957952123218112,2.698300082117198,15,37
1.0,single_le,all,alpha_E,350000,7.272447784741719,2.81815984207143,15,37
1.0,single_le,all,alpha_E,375000,7.561837675836352,2.9262966644725714,15,37
1.0,single_le,all,alpha_E,400000,7.8245814588334826,3.0269590367680927,15,37
1.0,single_le,all,alpha_E,425000,8.060600696669685,3.114417659807474,15,37
1.0,single_le,all,alpha_E,450000,8.271649906370374,3.1932105989637085,15,37
1.0,single_le,all,alpha_E,475000,8.459365950690376,3.2655878589874106,15,37
1.0,single_le,all,alpha_E,500000,8.62969393995073,3.3284435933616106,15,37
1.0,single_le,all,alpha_E,525000,8.78314295079973,3.3856058686679686,15,37
1.0,single_le,all,alpha_E,550000,8.918081943194071,3.4371468426838327,15,37
1.0,single_le,all,alpha_E,575000,9.040422471364339,3.482497676116251,15,37
1.0,single_le,all,alpha_E,600000,9.147835389773052,3.522008410691282,15,37
1.0,single_le,all,alpha_E,625000,9.244816978772482,3.5585446430315364,15,37
1.0,single_le,all,alpha_E,650000,9.330202839109633,3.590271333919319,15,37
1.0,single_le,all,alpha_E,675000,9.40708957248264,3.6186129045247593,15,37
1.0,single_le,all,alpha_E,700000,9.477112107806736,3.644577392705017,15,37
1.0,single_le,all,alpha_E,725000,9.538743215137059,3.6675084185997333,15,37
1.0,single_le,all,alpha_E,750000,9.594131406148275,3.687822151094901,15,37
1.0,single_le,all,alpha_E,775000,9.643014171388414,3.7060666113211473,15,37
1.0,single_le,all,alpha_E,800000,9.687019737561544,3.7224215894880066,15,37
1.0,single_le,all,alpha_E,825000,9.7266825305091,3.737164754527752,15,37
1.0,single_le,all,alpha_E,850000,9.761356213357713,3.749795734281846,15,37
1.0,single_le,all,alpha_E,875000,9.792457162009345,3.7611630816523625,15,37
1.0,single_le,all,alpha_E,900000,9.82038016849094,3.7713845094900766,15,37
1.0,single_le,all,alpha_E,925000,9.845226989852057,3.780510020561422,15,37
1.0,single_le,all,alpha_E,950000,9.867433084381952,3.7885631967276265,15,37
1.0,single_le,all,alpha_E,975000,9.887140713797674,3.7959464253605715,15,37
1.0,single_le,all,alpha_E,1000000,9.904768339792888,3.8024430246544734,15,37
1.0,single_le,locomotion,alpha_E,0,1.0,0.0,9,21
1.0,single_le,locomotion,alpha_E,25000,1.4668992514963504,0.22373608744380055,9,21
1.0,single_le,locomotion,alpha_E,50000,1.9592269283753854,0.5324016211442583,9,21
1.0,single_le,locomotion,alpha_E,75000,2.4906191892094083,0.8049824759963122,9,21
1.0,single_le,locomotion,alpha_E,100000,3.0508332097971884,1.026182677244882,9,21
1.0,single_le,locomotion,alpha_E,125000,3.66766584361041,1.2651381540089504,9,21
1.0,single_le,locomotion,alpha_E,150000,4.307665520244175,1.4751471161016527,9,21
1.0,single_le,locomotion,alpha_E,175000,4.922628685280128,1.665152462222001,9,21
1.0,single_le,locomotion,alpha_E,200000,5.4974988478201405,1.8422066752717086,9,21
1.0,single_le,locomotion,alpha_E,225000,6.043135788705614,2.0049880470211074,9,21
1.0,single_le,locomotion,alpha_E,250000,6.556555977574101,2.1512131188653054,9,21
1.0,single_le,locomotion,alpha_E,275000,7.025584861084266,2.287574148848283,9,21
1.0,single_le,locomotion,alpha_E,300000,7.455624333134405,2.405525679470665,9,21
1.0,single_le,locomotion,alpha_E,325000,7.846808490929781,2.5140694571816518,9,21
1.0,single_le,locomotion,alpha_E,350000,8.198690802962693,2.610122578762123,9,21
1.0,single_le,locomotion,alpha_E,375000,8.51979653040568,2.6949505626053774,9,21
1.0,single_le,locomotion,alpha_E,400000,8.813654440420645,2.7728081264907525,9,21
1.0,single_le,locomotion,alpha_E,425000,9.076136995244909,2.841794984388307,9,21
1.0,single_le,locomotion,alpha_E,450000,9.310495747460259,2.9018949892959376,9,21
1.0,single_le,locomotion,alpha_E,475000,9.522663275400797,2.955518840671703,9,21
1.0,single_le,locomotion,alpha_E,500000,9.711766145847461,3.002187045824297,9,21
1.0,single_le,locomotion,alpha_E,525000,9.883780064406217,3.0458008334939906,9,21
1.0,single_le,locomotion,alpha_E,550000,10.036119134337815,3.084334748489665,9,21
1.0,single_le,locomotion,alpha_E,575000,10.17344336156492,3.1182472085159203,9,21
1.0,single_le,locomotion,alpha_E,600000,10.292346336223462,3.1476663003219425,9,21
1.0,single_le,locomotion,alpha_E,625000,10.401488613199305,3.1741593268729806,9,21
1.0,single_le,locomotion,alpha_E,650000,10.496818683765552,3.197508036351799,9,21
1.0,single_le,locomotion,alpha_E,675000,10.582742302506057,3.218546294118782,9,21
1.0,single_le,locomotion,alpha_E,700000,10.661092634554262,3.2377113071185946,9,21
1.0,single_le,locomotion,alpha_E,725000,10.729965536682693,3.255047187919262,9,21
1.0,single_le,locomotion,alpha_E,750000,10.792319774627686,3.2698481757675735,9,21
1.0,single_le,locomotion,alpha_E,775000,10.847239706251356,3.2834894753632655,9,21
1.0,single_le,locomotion,alpha_E,800000,10.896439711252848,3.2954741740144233,9,21
1.0,single_le,locomotion,alpha_E,825000,10.940871653733431,3.306141136254179,9,21
1.0,single_le,locomotion,alpha_E,850000,10.979328120196307,3.3159009034385543,9,21
1.0,single_le,locomotion,alpha_E,875000,11.014092286427816,3.324351277043645,9,21
1.0,single_le,locomotion,alpha_E,900000,11.045347028308445,3.3320375548167376,9,21
1.0,single_le,locomotion,alpha_E,925000,11.072935616528547,3.338918792982752,9,21
1.0,single_le,locomotion,alpha_E,950000,11.097708728578356,3.344933566877247,9,21
1.0,single_le,locomotion,alpha_E,975000,11.119968599743313,3.3501610201358134,9,21
1.0,single_le,locomotion,alpha_E,1000000,11.139695317656907,3.354958707721091,9,21
1.0,single_le,antmaze,alpha_E,0,1.0,0.0,6,16
1.0,single_le,antmaze,alpha_E,25000,1.2429622544182672,0.115705547769279,6,16
