init,condition,env,best_lr,n_seeds,mean_score,seeds
1.0,single_le,antmaze-large-diverse-v2,0.001,3,18.666666666666668,1;2;3
1.0,single_le,antmaze-large-play-v2,0.002,3,54.0,1;2;3
1.0,single_le,antmaze-medium-diverse-v2,0.001,3,73.33333333333333,1;2;3
1.0,single_le,antmaze-medium-play-v2,0.002,3,83.33333333333333,1;2;3
1.0,single_le,antmaze-umaze-diverse-v2,0.001,2,84.0,2;3
1.0,single_le,antmaze-umaze-v2,0.0003,2,98.0,2;3
1.0,single_le,halfcheetah-medium-expert-v2,0.001,3,101.23858313466236,1;2;3
1.0,single_le,halfcheetah-medium-replay-v2,0.002,3,48.44704648782548,1;2;3
1.0,single_le,halfcheetah-medium-v2,0.002,3,56.13126437509646,1;2;3
1.0,single_le,hopper-medium-expert-v2,0.002,2,94.01348905782868,2;3
1.0,single_le,hopper-medium-replay-v2,0.002,2,101.02846503638293,2;3
1.0,single_le,hopper-medium-v2,0.002,2,93.55205768383883,2;3
1.0,single_le,walker2d-medium-expert-v2,0.002,2,111.42955140515147,2;3
1.0,single_le,walker2d-medium-replay-v2,0.002,2,95.85669376983833,2;3
1.0,single_le,walker2d-medium-v2,0.001,2,88.30878225071919,2;3
1.0,dual_le_fixed_b,antmaze-large-diverse-v2,0.0003,4,0.0,0;1;2;3
1.0,dual_le_fixed_b,antmaze-large-play-v2,0.0003,4,0.0,0;1;2;3
1.0,dual_le_fixed_b,antmaze-medium-diverse-v2,0.0003,4,0.0,0;1;2;3
1.0,dual_le_fixed_b,antmaze-medium-play-v2,0.0003,4,0.0,0;1;2;3
1.0,dual_le_fixed_b,antmaze-umaze-diverse-v2,0.0003,4,58.5,0;1;2;3
1.0,dual_le_fixed_b,antmaze-umaze-v2,0.0003,4,84.5,0;1;2;3
1.0,dual_le_fixed_b,halfcheetah-medium-expert-v2,0.002,4,94.42754639965085,0;1;2;3
1.0,dual_le_fixed_b,halfcheetah-medium-replay-v2,0.002,4,48.664655137585655,0;1;2;3
1.0,dual_le_fixed_b,halfcheetah-medium-v2,0.002,4,56.58686843926003,0;1;2;3
1.0,dual_le_fixed_b,hopper-medium-expert-v2,0.002,4,105.32470276723708,0;1;2;3
1.0,dual_le_fixed_b,hopper-medium-replay-v2,0.002,4,98.70457368073589,0;1;2;3
1.0,dual_le_fixed_b,hopper-medium-v2,0.002,4,88.46564295836994,0;1;2;3
1.0,dual_le_fixed_b,walker2d-medium-expert-v2,0.002,4,110.2475326580078,0;1;2;3
1.0,dual_le_fixed_b,walker2d-medium-replay-v2,0.002,4,91.92317574258281,0;1;2;3
1.0,dual_le_fixed_b,walker2d-medium-v2,0.002,4,85.66529045797527,0;1;2;3
5.0,single_le,antmaze-large-diverse-v2,0.002,4,42.5,0;1;2;3
5.0,single_le,antmaze-large-play-v2,0.001,4,57.5,0;1;2;3
5.0,single_le,antmaze-medium-diverse-v2,0.002,4,62.0,0;1;2;3
5.0,single_le,antmaze-medium-play-v2,0.0003,4,80.0,0;1;2;3
5.0,single_le,antmaze-umaze-diverse-v2,0.0003,4,90.5,0;1;2;3
5.0,single_le,antmaze-umaze-v2,0.0003,4,91.5,0;1;2;3
5.0,single_le,halfcheetah-medium-expert-v2,0.0003,4,97.55227876284366,0;1;2;3
5.0,single_le,halfcheetah-medium-replay-v2,0.002,4,50.19398615850211,0;1;2;3
5.0,single_le,halfcheetah-medium-v2,0.002,4,58.16507703667649,0;1;2;3
5.0,single_le,hopper-medium-expert-v2,0.0003,4,94.49604891371261,0;1;2;3
5.0,single_le,hopper-medium-replay-v2,0.0003,4,92.37901313414258,0;1;2;3
5.0,single_le,hopper-medium-v2,0.002,4,101.99776726874076,0;1;2;3
5.0,single_le,walker2d-medium-expert-v2,0.002,4,111.26181550529898,0;1;2;3
5.0,single_le,walker2d-medium-replay-v2,0.0003,4,94.40853065175477,0;1;2;3
5.0,single_le,walker2d-medium-v2,0.001,4,91.38969443835812,0;1;2;3
5.0,dual_le_fixed_b,antmaze-large-diverse-v2,0.0003,4,38.0,0;1;2;3
5.0,dual_le_fixed_b,antmaze-large-play-v2,0.0003,4,22.0,0;1;2;3
5.0,dual_le_fixed_b,antmaze-medium-diverse-v2,0.0003,4,61.5,0;1;2;3
5.0,dual_le_fixed_b,antmaze-medium-play-v2,0.0003,4,75.5,0;1;2;3
5.0,dual_le_fixed_b,antmaze-umaze-diverse-v2,0.0003,4,88.5,0;1;2;3
5.0,dual_le_fixed_b,antmaze-umaze-v2,0.0003,4,90.0,0;1;2;3
5.0,dual_le_fixed_b,halfcheetah-medium-expert-v2,0.002,4,96.38245412262043,0;1;2;3
5.0,dual_le_fixed_b,halfcheetah-medium-replay-v2,0.002,4,50.02620997242669,0;1;2;3
5.0,dual_le_fixed_b,halfcheetah-medium-v2,0.002,4,59.10076406849931,0;1;2;3
5.0,dual_le_fixed_b,hopper-medium-expert-v2,0.002,4,77.98503836116227,0;1;2;3
5.0,dual_le_fixed_b,hopper-medium-replay-v2,0.002,4,101.27494564016024,0;1;2;3
5.0,dual_le_fixed_b,hopper-medium-v2,0.002,4,101.69929630475906,0;1;2;3
5.0,dual_le_fixed_b,walker2d-medium-expert-v2,0.002,4,110.62605732388816,0;1;2;3
5.0,dual_le_fixed_b,walker2d-medium-replay-v2,0.002,4,93.85648016207621,0;1;2;3
5.0,dual_le_fixed_b,walker2d-medium-v2,0.002,4,94.43923656741752,0;1;2;3
