branch,log_commit,section,method,family,domain,env,seed,backend,meta_lr,initialization,adaptive_scale_E,adaptive_scale_B,freeze_scale_E,freeze_scale_B,execution_only,bootstrap_loss,execution_meta_loss,execution_score,classification_reasons,last_eval_step,run_id,rel_path,source_path,code_commit
svcho,87ddc10d8fa4c19e3264c3860fb509a532ece0ac,ablation,a2pr,aspc_table1,adroit,door-cloned-v1,0,torch,,—,,,,,False,,,,adroit,1000000,doorc_s0_aspc_table1_1m__2bba9d13,ablation/a2pr/door-cloned-v1/seed_0/doorc_s0_aspc_table1_1m__2bba9d13,/home/svcho/A2PR/results_aspc_table1/door-cloned-v1/door-cloned-v1_s0,f92a2a4e638c0a72718fbc8c67e7a66030db5f9c
svcho,87ddc10d8fa4c19e3264c3860fb509a532ece0ac,ablation,a2pr,aspc_table1,adroit,door-cloned-v1,1,torch,,—,,,,,False,,,,adroit,1000000,doorc_s1_aspc_table1_1m__358cd01a,ablation/a2pr/door-cloned-v1/seed_1/doorc_s1_aspc_table1_1m__358cd01a,/home/svcho/A2PR/results_aspc_table1/door-cloned-v1/door-cloned-v1_s1,f92a2a4e638c0a72718fbc8c67e7a66030db5f9c
svcho,87ddc10d8fa4c19e3264c3860fb509a532ece0ac,ablation,a2pr,aspc_table1,adroit,door-cloned-v1,2,torch,,—,,,,,False,,,,adroit,1000000,doorc_s2_aspc_table1_1m__b74a34ff,ablation/a2pr/door-cloned-v1/seed_2/doorc_s2_aspc_table1_1m__b74a34ff,/home/svcho/A2PR/results_aspc_table1/door-cloned-v1/door-cloned-v1_s2,f92a2a4e638c0a72718fbc8c67e7a66030db5f9c
svcho,87ddc10d8fa4c19e3264c3860fb509a532ece0ac,ablation,a2pr,aspc_table1,adroit,door-cloned-v1,3,torch,,—,,,,,False,,,,adroit,1000000,doorc_s3_aspc_table1_1m__72078e25,ablation/a2pr/door-cloned-v1/seed_3/doorc_s3_aspc_table1_1m__72078e25,/home/svcho/A2PR/results_aspc_table1/door-cloned-v1/door-cloned-v1_s3,f92a2a4e638c0a72718fbc8c67e7a66030db5f9c
svcho,87ddc10d8fa4c19e3264c3860fb509a532ece0ac,ablation,a2pr,aspc_table1,adroit,door-expert-v1,0,torch,,—,,,,,False,,,,adroit,1000000,doore_s0_aspc_table1_1m__c8dd9a52,ablation/a2pr/door-expert-v1/seed_0/doore_s0_aspc_table1_1m__c8dd9a52,/home/svcho/A2PR/results_aspc_table1/door-expert-v1/door-expert-v1_s0,f92a2a4e638c0a72718fbc8c67e7a66030db5f9c
svcho,87ddc10d8fa4c19e3264c3860fb509a532ece0ac,ablation,a2pr,aspc_table1,adroit,door-expert-v1,1,torch,,—,,,,,False,,,,adroit,1000000,doore_s1_aspc_table1_1m__8dfb0f4e,ablation/a2pr/door-expert-v1/seed_1/doore_s1_aspc_table1_1m__8dfb0f4e,/home/svcho/A2PR/results_aspc_table1/door-expert-v1/door-expert-v1_s1,f92a2a4e638c0a72718fbc8c67e7a66030db5f9c
svcho,87ddc10d8fa4c19e3264c3860fb509a532ece0ac,ablation,a2pr,aspc_table1,adroit,door-expert-v1,2,torch,,—,,,,,False,,,,adroit,1000000,doore_s2_aspc_table1_1m__b090a088,ablation/a2pr/door-expert-v1/seed_2/doore_s2_aspc_table1_1m__b090a088,/home/svcho/A2PR/results_aspc_table1/door-expert-v1/door-expert-v1_s2,f92a2a4e638c0a72718fbc8c67e7a66030db5f9c
svcho,87ddc10d8fa4c19e3264c3860fb509a532ece0ac,ablation,a2pr,aspc_table1,adroit,door-expert-v1,3,torch,,—,,,,,False,,,,adroit,1000000,doore_s3_aspc_table1_1m__60f55f6d,ablation/a2pr/door-expert-v1/seed_3/doore_s3_aspc_table1_1m__60f55f6d,/home/svcho/A2PR/results_aspc_table1/door-expert-v1/door-expert-v1_s3,f92a2a4e638c0a72718fbc8c67e7a66030db5f9c
svcho,87ddc10d8fa4c19e3264c3860fb509a532ece0ac,ablation,a2pr,aspc_table1,adroit,door-human-v1,0,torch,,—,,,,,False,,,,adroit,1000000,doorh_s0_aspc_table1_1m__73e1bc84,ablation/a2pr/door-human-v1/seed_0/doorh_s0_aspc_table1_1m__73e1bc84,/home/svcho/A2PR/results_aspc_table1/door-human-v1/door-human-v1_s0,f92a2a4e638c0a72718fbc8c67e7a66030db5f9c
svcho,87ddc10d8fa4c19e3264c3860fb509a532ece0ac,ablation,a2pr,aspc_table1,adroit,door-human-v1,1,torch,,—,,,,,False,,,,adroit,1000000,doorh_s1_aspc_table1_1m__d3659e43,ablation/a2pr/door-human-v1/seed_1/doorh_s1_aspc_table1_1m__d3659e43,/home/svcho/A2PR/results_aspc_table1/door-human-v1/door-human-v1_s1,f92a2a4e638c0a72718fbc8c67e7a66030db5f9c
svcho,87ddc10d8fa4c19e3264c3860fb509a532ece0ac,ablation,a2pr,aspc_table1,adroit,door-human-v1,2,torch,,—,,,,,False,,,,adroit,1000000,doorh_s2_aspc_table1_1m__4194c8e6,ablation/a2pr/door-human-v1/seed_2/doorh_s2_aspc_table1_1m__4194c8e6,/home/svcho/A2PR/results_aspc_table1/door-human-v1/door-human-v1_s2,f92a2a4e638c0a72718fbc8c67e7a66030db5f9c
